Milioni di metri cubi;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Russian Federation; 13.978 ; 14.185 ; 13.219 ; 13.465 ; 13.523 ; 13.947 ; 13.560 ; 13.744 ; 16.693 ; 19.093 ; 21.038 ; 19.594 ; 20.713 ; 21.688 ; 23.624 ; 23.326 ; 22.520 ; 22.667 ; 23.486 ; 19.999 ; 14.964 ; 19.743 ; 18.071 ; 28.073 ; 24.036 ; 27.656 ; 26.830 ; 33.108 ; 32.846 ; 33.449 ; 28.716 ; 28.988 
Algeria; 10.559 ; 13.515 ; 14.617 ; 13.269 ; 11.127 ; 16.747 ; 19.075 ; 20.342 ; 22.820 ; 26.802 ; 28.120 ; 24.413 ; 24.158 ; 24.561 ; 25.632 ; 27.464 ; 27.549 ; 24.584 ; 25.992 ; 22.670 ; 27.670 ; 22.952 ; 21.953 ; 12.518 ; 6.777 ; 7.642 ; 19.286 ; 19.511 ; 17.970 ; 13.366 ; 15.118 ; 22.584 
Netherlands; 5.933 ; 5.328 ; 6.116 ; 5.412 ; 4.453 ; 3.620 ; 4.451 ; 4.999 ; 3.017 ; 2.869 ; 6.087 ; 7.002 ; 7.825 ; 7.630 ; 8.074 ; 8.040 ; 9.372 ; 8.038 ; 7.050 ; 4.278 ; 3.163 ; 3.647 ; 2.466 ; 2.781 ; 6.530 ; 4.916 ; 2.742 ; 1.212 ; 1.339 ; 1.720 ; 914 ; 312 
Libya; -   ; -   ; -   ; -   ; 53 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 521 ; 4.493 ; 7.692 ; 9.241 ; 9.871 ; 9.168 ; 9.401 ; 2.339 ; 6.469 ; 5.705 ; 6.513 ; 7.080 ; 4.840 ; 4.641 ; 4.466 ; 5.701 ; 4.460 ; 3.231 
Norway; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.221 ; 4.884 ; 5.030 ; 5.190 ; 5.723 ; 5.745 ; 5.581 ; 5.535 ; 4.160 ; 2.987 ; 3.651 ; 2.813 ; 2.004 ; 2.666 ; 2.624 ; 975 ; 2.599 ; 3.159 ; 6.141 ; 7.397 ; 1.937 
Qatar; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.591 ; 6.154 ; 6.205 ; 5.925 ; 5.322 ; 4.387 ; 5.745 ; 5.521 ; 6.738 ; 6.535 ; 6.550 ; 6.944 ; 6.877 
Not elsewhere specified; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 941 ; 2.632 ; 3.747 ; 3.605 ; 2.221 ; 2.001 ; 3.133 ; 3.324 ; 4.357 ; 4.239 ; 3.284 ; 1.956 ; 1.508 ; 1.718 ; 1.772 ; 1.098 ; -   ; -   ;;
Germany; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.048 ; 1.090 ; 1.165 ; 1.797 ; 1.624 ; 2.863 ; 2.904 ; 2.102 ; 1.691 ; 2.293 ; 1.893 ; -   ; -   ; -   ; -   ;
Austria; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.428 ; 3.546 ; 3.614 ; 2.396 ; 1.087 ; 1.054 ; 1.080 ; 629 ; -   ; -   ; -   ; -   ;
Croatia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1.227 ; 748 ; 635 ; 835 ; 450 ; 262 ; 249 ; 367 ; 377 ; 364 ; 379 ; 188 ; 105 ; 42 ; 33 ; 19 
Nigeria; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 478 ; 2.202 ; 2.537 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 92 ; 160 ; 89 ; 174 ; 181 ; 456 
United Kingdom; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 770 ; 1.253 ; 1.120 ; 543 ; -   ; -   ; -   ; -   ; -   ; -   ; 307 ; 51 ; 64 ; 49 ; 71 ; 105 ; 140 ; 85 ; 1 ;
United States; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 67 ; 84 ; 645 ; 1.614 ; 1.754 ; 806 
Trinidad and Tobago; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 266 ; 25 ; -   ; -   ; -   ; 168 ; 271 ; -   ; -   ; 55 ; -   ; -   ; 87 ; -   ; 1.413 ; 165 ;
Egypt; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 870 ; 583 ; 147 ; -   ; -   ; -   ; -   ; -   ; 154 ; 472 ; -   ; 184 
France; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 34 ; 1 ; 1 ; 2 ; 1 ; 115 ; 617 ; 32 
Uzbekistan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 566 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Denmark; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19 ; -   ; 64 ; 52 ; 71 ; 105 ; 140 ; 85 ; 1 ;
United Arab Emirates; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 116 ; 201 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Belgium; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 154 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 81 ;
Equatorial Guinea; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 91 ; 85 ; -   ;
Peru; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 111 ; -   ; -   ; -   ; -   ;
Angola; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 92 ; -   ; -   ;
Cameroon; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; -   ; -   ;
Spain; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 3 ; 2 ; 2 ; 1 ; 48 ; -   ; 88 
Slovenia; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 23 ; 2 ; 11 ; 8 ; 8 ; -   ;
Azerbaijan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 11 ; 7.214 
Totale; 30.470 ; 33.028 ; 33.952 ; 32.146 ; 29.156 ; 34.314 ; 37.086 ; 39.085 ; 42.646 ; 49.484 ; 57.447 ; 54.775 ; 59.291 ; 62.794 ; 67.908 ; 73.460 ; 77.399 ; 73.950 ; 76.867 ; 69.250 ; 75.354 ; 70.369 ; 67.725 ; 61.966 ; 55.757 ; 61.266 ; 65.284 ; 69.650 ; 67.872 ; 71.065 ; 66.393 ; 72.728 
